,filename,column,avr,var,std,skew,kern,logviola,rollingvarmax,DFA,rollingvarmean,violmax,violmean,maxpeaksqt,Unnamed: 14,L
312,5862.csv,millinletTemp,853.1770948586118,5.51489652249862,2.3483816816051477,0.3056182064500949,-0.2941587884765,0.0254265929421376,7.332563326638168,0.96699056165592,3.274848515294571,6.932859964103599,1.9984027125342416,3.5594301206885195,,a
313,5863.csv,millinletTemp,854.8696653806585,4.379858656974587,2.092811185218243,-0.0454473323745637,-0.3776823221599006,0.0226128650982834,7.332563326647319,1.064337471284786,3.678407486368094,5.75647460705998,1.7876032020494494,1.8669342580459347,,a
314,5864.csv,millinletTemp,854.6924904688304,4.209812244820231,2.05178269922042,-0.0694707995387998,-0.3711554326146546,0.0221583206335807,8.394172799332075,0.9852110224876196,3.481349098941108,6.574604682805549,1.7630792027957656,1.6348693425461134,,a
315,5865.csv,millinletTemp,855.1090069230769,3.6344876437068607,1.9064332256092424,-0.1763324362607581,0.054877680581876,0.0206270840632522,8.39417279933397,1.0505068428063598,3.0071273295140823,6.75730646854224,1.58368661248576,1.8084723551073492,,a
316,5866.csv,millinletTemp,855.1935233213736,4.007122417169383,2.001779812359337,0.2987272758463331,-0.1434595892452717,0.0216499779742046,6.698290550728218,1.07115362257209,2.776527260444798,6.458306135683041,1.6831116409584954,3.0183189993721413,,a
317,5867.csv,millinletTemp,854.759530927835,3.862158663131914,1.9652375589561464,-0.0087889364744247,-0.2579762916279327,0.0212147335821232,5.332206470455477,0.9764741498532168,2.4671541524026845,5.680058983282781,1.666898064076357,1.7376324289496827,,a
318,5868.csv,millinletTemp,854.2397723076922,3.772170255401181,1.9422075726866015,0.1754527765366629,0.4562800215844618,0.0210304013375081,5.974781276872244,0.9127111025912676,2.706247685808268,6.890525612881858,1.5751457468169872,3.4242578737003475,,a
319,5869.csv,millinletTemp,855.4733107344632,3.4512412802495014,1.857751673461634,0.0428029132822152,-0.4145878151960609,0.020070171009243,5.753052824968158,0.907664477750784,2.7587887052402773,5.830692443797832,1.601159321498222,2.765803700285776,,a
320,5870.csv,millinletTemp,855.9400631443299,3.423392781007896,1.8502412764306968,-0.2073223514300525,-0.1576976518833546,0.0199459798832798,5.379690416951605,0.9390205707012416,2.580970251903756,5.069020493749749,1.588805328148018,1.883849748989909,,a
321,5871.csv,millinletTemp,855.3799681643131,2.6961607144459125,1.6419989995264652,-0.0187608822127903,0.2014398410942894,0.0177449350018991,4.361460936945515,0.957313498830323,2.477861643388477,4.758175991273154,1.3532825318428043,1.5524031395803333,,a
322,5872.csv,millinletTemp,856.0403143443674,3.358182631911747,1.8325344831439727,0.229856513658543,-0.0260642566261983,0.0197863658986031,5.262318835021997,0.9204274187211297,2.934060836823369,5.194785402725096,1.532592097862643,1.6144794071056172,,a
323,5873.csv,millinletTemp,856.4321762442279,3.062607689997491,1.7500307683002294,0.338968057427531,-0.150834834510253,0.0188861385874271,4.948834109252855,0.8622212424890011,2.69554351571758,5.462350298911114,1.475401479452079,1.594528509329367,,a
324,5874.csv,millinletTemp,855.8907253539253,4.794535002562477,2.189642665496468,-1.1983682451546416,4.510737311663524,0.0236528317615549,13.289111202892604,1.0333851859579202,3.5444154090342503,11.34556903102757,1.653528349264522,2.4630082910460454,,a
325,5875.csv,millinletTemp,856.5693463414635,4.607242232096901,2.1464487490030835,-0.2862267713566493,0.1646739924681886,0.0231674710620449,9.756253494940443,1.078793614851008,3.257217051500352,5.993796582103582,1.7098041729331956,4.440696635324712,,a
326,5876.csv,millinletTemp,855.8174918709678,4.540629668687127,2.1308753292220377,0.0619823291979787,-0.0505717531364977,0.0229533784038983,9.756253494963923,0.9997187209902632,3.556703072596746,6.825413942492116,1.7586585215135402,4.604250835502075,,a
